date,gate_start,gate_end,visitors,notes
7/1/2017 0:00,277309,277929,310,
7/2/2017 0:00,277929,278102,86.5,
7/3/2017 0:00,278102,278398,148,
7/4/2017 0:00,278398,278398,0,
7/5/2017 0:00,278398,278999,300.5,
7/6/2017 0:00,279008,280179,585.5,
7/7/2017 0:00,279008,280608,800,
7/8/2017 0:00,280608,280858,125,
7/9/2017 0:00,280858,281085,113.5,
7/10/2017 0:00,281085,282373,644,
7/11/2017 0:00,282373,283626,626.5,
7/12/2017 0:00,283626,284934,654,
7/13/2017 0:00,284934,286202,634,
7/14/2017 0:00,286202,287218,508,
7/15/2017 0:00,287218,287469,125.5,
7/16/2017 0:00,287469,287846,188.5,
7/17/2017 0:00,287846,289291,722.5,
